ID	TCGA-AA-3660-11A-01R-1723-07	TCGA-AA-3522-11A-01R-A32Z-07	TCGA-AA-3511-11A-01R-1839-07	TCGA-A6-2680-11A-01R-A32Z-07	TCGA-AA-3712-11A-01R-1723-07	TCGA-AZ-6603-11A-02R-1839-07	TCGA-A6-2678-11A-01R-A32Z-07	TCGA-AZ-6599-11A-01R-1774-07	TCGA-AA-3655-11A-01R-1723-07	TCGA-A6-5665-11A-01R-1653-07	TCGA-AA-3527-11A-01R-A32Z-07	TCGA-A6-2686-11A-01R-A32Z-07	TCGA-AA-3496-11A-01R-1839-07	TCGA-AA-3514-11A-01R-A32Z-07	TCGA-A6-5659-11A-01R-1653-07	TCGA-AZ-6600-11A-01R-1774-07	TCGA-AA-3663-11A-01R-1723-07	TCGA-A6-2684-11A-01R-A32Z-07	TCGA-AA-3662-11A-01R-1723-07	TCGA-A6-2675-11A-01R-1723-07	TCGA-A6-2679-11A-01R-A32Z-07	TCGA-A6-5667-11A-01R-1723-07	TCGA-AA-3531-11A-01R-A32Z-07	TCGA-A6-2671-11A-01R-A32Z-07	TCGA-AA-3713-11A-01R-1723-07	TCGA-AA-3520-11A-01R-A32Z-07	TCGA-A6-2682-11A-01R-A32Z-07	TCGA-AZ-6601-11A-01R-1774-07	TCGA-AZ-6605-11A-01R-1839-07	TCGA-A6-5662-11A-01R-1653-07	TCGA-AZ-6598-11A-01R-1774-07	TCGA-AA-3525-11A-01R-A32Z-07	TCGA-AA-3489-11A-01R-1839-07	TCGA-AA-3517-11A-01R-A32Z-07	TCGA-AA-3518-11A-01R-1672-07	TCGA-AA-3697-11A-01R-1723-07	TCGA-AA-3534-11A-01R-A32Z-07	TCGA-A6-2685-11A-01R-A32Z-07	TCGA-A6-2683-11A-01R-A32Z-07	TCGA-CM-6169-01A-11R-1653-07	TCGA-AA-3697-01A-01R-1723-07	TCGA-A6-A56B-01A-31R-A28H-07	TCGA-A6-5659-01A-01R-1653-07	TCGA-AA-3930-01A-01R-1022-07	TCGA-DM-A1DA-01A-11R-A155-07	TCGA-CK-6747-01A-11R-1839-07	TCGA-AA-3851-01A-01R-1022-07	TCGA-D5-5538-01A-01R-1653-07	TCGA-AA-3858-01A-01R-0905-07	TCGA-AA-3833-01A-01R-0905-07	TCGA-AA-3812-01A-01R-0905-07	TCGA-AD-6548-01A-11R-1839-07	TCGA-AM-5820-01A-01R-1653-07	TCGA-CM-5344-01A-21R-1723-07	TCGA-AZ-6603-01A-11R-1839-07	TCGA-D5-6926-01A-11R-1928-07	TCGA-AZ-5407-01A-01R-1723-07	TCGA-AA-3870-01A-01R-1022-07	TCGA-A6-5666-01A-01R-1653-07	TCGA-AA-A01F-01A-01R-A002-07	TCGA-AA-A01S-01A-21R-A083-07	TCGA-AA-3713-01A-21R-1723-07	TCGA-CA-5797-01A-01R-1653-07	TCGA-NH-A5IV-01A-42R-A37K-07	TCGA-D5-6531-01A-11R-1723-07	TCGA-G4-6304-01A-11R-1928-07	TCGA-AA-3548-01A-01R-1873-07	TCGA-AY-4071-01A-01R-1113-07	TCGA-D5-6924-01A-11R-1928-07	TCGA-A6-2681-01A-01R-1410-07	TCGA-A6-2679-01A-02R-1410-07	TCGA-CM-5868-01A-01R-1653-07	TCGA-CM-6167-01A-11R-1653-07	TCGA-G4-6626-01A-11R-1774-07	TCGA-AA-3815-01A-01R-1022-07	TCGA-AA-3869-01A-01R-1022-07	TCGA-AA-3495-01A-01R-1410-07	TCGA-3L-AA1B-01A-11R-A37K-07
KCNMA1	0.7784	0.8589	1.1947	1.3085	0.768	7.3102	1.7432	1.0863	2.7139	0.9378	2.0641	1.0095	6.5687	0.7261	1.184	0.766	4.1241	0.4623	1.8741	7.2321	0.6276	1.1995	0.7605	2.3811	1.2427	0.6725	0.7761	3.4023	15.6869	4.7524	2.8593	0.4538	4.9507	0.6785	1.5661	1.8373	0.927	0.9105	0.6035	1.0238	0.1014	0.1997	0.4899	0.1899	0.0357	0.2669	0.2593	0.3225	0.1103	0.371	0.5588	0.346	0.7222	0.2504	0.3783	0.4626	0.1267	0.4992	0.0458	0.0207	0.0839	0.2499	0.2476	0.3904	0.2833	0.0895	0.0689	0.1538	0.4856	0.6973	0.1128	0.1705	7.5417	0.0206	0.221	0.1471	0.0567	0.3638
ABCC1	2.2715	4.6216	5.7918	2.1673	4.9529	9.3125	4.8675	6.2055	3.1958	3.1557	5.9481	5.4464	5.7935	4.7232	4.8131	6.6462	6.9278	3.5563	3.247	9.4287	7.5589	4.6981	2.9008	4.7028	2.7263	5.5137	3.9614	5.5941	7.3182	5.4717	6.759	6.2352	3.5667	4.4783	4.3085	5.6085	6.2991	4.1663	3.3359	14.2661	10.9943	16.1677	16.4833	7.1902	8.9761	13.8195	9.3696	7.3365	9.7471	7.4347	6.3296	14.8608	6.2779	11.6016	21.0714	14.8836	8.6898	9.0851	8.8519	9.8986	14.3366	8.9612	19.2184	14.4467	8.3858	9.0164	5.5685	10.344	13.2852	8.935	4.9698	11.8716	13.5665	17.0326	8.1049	11.6398	7.5224	13.2783
MMS22L	0.3339	0.4309	0.54	0.1651	0.3982	0.4093	0.3214	0.4929	0.3637	0.2961	0.3003	0.2788	0.2568	0.3357	0.2903	0.3948	0.3417	0.2396	0.3713	0.3078	0.3346	0.3272	0.2191	0.2291	0.3441	0.3359	0.3907	0.498	0.2601	0.2826	0.4621	0.3312	0.3494	0.2958	0.218	0.4084	0.3439	0.3121	0.4139	0.4224	1.0343	1.2284	1.3339	2.1097	1.3699	0.7269	0.8602	0.9381	0.7559	0.4808	0.1839	0.8923	0.5367	0.9651	0.9318	0.8611	0.8219	0.3591	1.0813	0.8948	0.4905	1.7541	0.9596	1.6888	0.7565	0.64	0.4276	0.4682	0.9402	0.332	0.0422	0.6312	0.5478	1.4118	0.9497	1.0059	0.7052	0.6881
PDGFRB	4.117	5.1002	5.7229	3.8865	7.6518	18.0331	9.9094	26.25	3.5382	6.0069	5.3469	5.5291	13.8953	3.1534	3.4683	13.525	8.3772	3.4441	6.3059	11.1606	5.7416	5.4256	4.4073	6.3795	2.5604	4.8798	4.5647	9.8019	15.8329	8.3337	14.9722	4.0461	4.1855	5.897	7.0433	12.1703	6.8698	4.0997	5.9475	34.0516	8.8663	31.9057	10.3058	7.7441	6.3646	12.7831	8.5716	16.5135	16.5928	17.6388	15.5335	23.9121	12.2354	30.7004	24.1705	35.4461	3.436	24.9659	3.8051	2.4361	4.2567	7.9932	15.991	9.6229	17.2661	2.1866	12.6175	11.4724	38.8035	19.852	7.6546	20.3835	59.8895	6.7444	7.1907	11.359	6.1723	14.7749
CASP5	11.275	14.8199	9.5075	8.1649	3.2981	18.7145	3.4359	16.1466	9.0787	18.3419	34.5025	12.0408	13.2483	48.019	21.5995	12.4094	6.1615	19.2712	3.0361	9.1833	22.9444	11.3112	34.8346	17.087	16.1686	13.8607	14.6076	11.6879	1.3248	6.7376	11.7989	20.661	65.2077	10.3664	16.2207	53.1404	10.5587	22.7026	11.8262	4.4975	7.3141	0.116	0.3879	1.9857	1.7477	7.8449	8.1971	1.9854	1.9037	3.0305	1.7115	5.4271	11.1608	1.4496	2.2691	1.4323	6.7727	0.4222	0.9261	4.0261	3.203	11.6441	1.9061	0.6954	1.706	2.2464	1.5331	7.4423	2.5013	0.5164	0.8673	1.2081	1.1315	0.4372	9.7503	7.372	16.1008	2.3057
CR2	1.3848	2.9298	47.1522	1.4526	1.1146	0.2798	2.4135	0.0984	2.579	6.2911	2.0727	0.5115	1.6521	2.8384	4.9688	6.7275	2.8328	1.9786	1.928	0.2005	2.9623	7.5831	11.3717	0.6827	0.1912	4.2377	14.4181	8.9346	0.072	3.353	8.9597	20.7391	0.8112	24.5078	1.0522	9.9309	8.4953	0.7016	3.4275	0.7384	0.2663	0.0252	0.7134	0.5346	0.0098	0.0738	0.8473	0.3646	0.1201	0.4885	0.0656	0.7861	0.0868	0.2873	0.4176	0.7562	0.1615	0.5701	0.1301	0	0.0092	0.7539	0.0549	0.0342	0.0732	0.0458	0.3406	0.6545	0.4965	0.5974	0.4083	0.1012	1.7613	0.8359	1.1372	0.8069	0.6104	1.1934
ABCA5	3.1031	3.5517	3.3679	5.1333	4.9695	1.4825	3.6361	3.3799	2.2811	3.658	3.6595	2.9371	1.8864	2.1748	5.0566	2.5037	2.1266	3.3007	3.3858	1.8919	2.4284	4.7552	4.1647	2.5842	1.7141	3.2412	3.7143	2.7366	0.7681	2.4245	2.7704	2.7388	1.126	3.544	3.617	1.5749	3.6975	2.7399	3.8693	2.504	2.0813	1.4546	0.5766	0.9924	0.7133	0.7916	0.655	2.8196	0.2489	0.7057	0.3411	1.2186	0.704	1.6617	1.8791	1.733	1.2192	0.3211	1.1843	1.1352	0.3128	3.3806	0.433	2.4098	0.5033	1.2571	0.5986	3.2016	1.2491	0.353	0.1049	1.0162	2.2477	0.5995	1.6806	0.9963	1.6561	4.0606
EFEMP1	19.708	10.8213	15.9819	20.0811	19.5224	43.0993	17.3511	58.7241	15.6315	13.7453	16.5162	17.9532	28.7897	9.1287	8.6573	27.9491	28.5171	8.4296	32.172	28.6516	19.5421	12.9834	19.2357	22.8407	11.5167	14.3724	6.8839	28.3813	20.4337	23.4291	26.0166	11.0406	19.4028	17.3691	19.8376	24.7175	13.8547	8.9346	15.8826	35.9127	4.0225	7.0055	12.4081	4.8742	1.4166	4.1392	5.6411	13.3275	6.2057	5.604	16.5657	6.7174	9.7072	9.3616	10.3552	16.2188	2.4707	7.053	2.1687	0.8911	0.6097	7.1194	16.0634	3.5482	8.0696	0.1692	5.3061	9.802	21.746	8.0921	6.1954	10.0276	50.5773	0.5622	3.5192	5.8126	6.6867	10.7181
KCNH8	0.1926	0.1694	0.3215	0.1074	0.2236	0.2775	0.1852	0.1819	0.1385	0.1196	0.1035	0.0759	0.1119	0.0711	0.1414	0.1585	0.1369	0.0602	0.1951	0.2806	0.1079	0.1464	0.0977	0.0857	0.0406	0.1331	0.1095	0.1864	0.083	0.1036	0.2696	0.0961	0.1617	0.0985	0.0841	0.0992	0.1609	0.1072	0.0949	1.3883	0.6785	1.2333	1.2788	0.3951	0.2574	0.1302	0.4639	0.478	0.5219	0.409	0.4344	0.057	0.0843	0.9613	2.8776	1.7679	0.3552	0.3628	1.6243	0.9904	0.0588	4.3899	0.1594	2.3743	0.2504	0.4626	0.5284	1.6681	1.3974	0.5064	0.0504	1.2396	0.8214	1.6236	0.1074	0.4583	0.3862	2.4078
ADAMTS7	0.3371	0.6504	0.6306	0.2992	0.9147	1.14	0.4882	1.0153	0.3259	0.5015	0.4099	0.6065	0.8135	0.2915	0.2884	0.6391	0.7771	0.5477	0.3168	0.8158	0.8726	0.8658	0.3711	0.6867	0.2584	0.6147	0.8689	0.5454	1.2174	0.4683	0.833	0.5562	0.3271	0.3438	0.4513	0.6514	0.7954	0.5936	0.2505	1.5263	1.1862	2.2127	0.5002	0.9476	0.441	1.5351	1.0291	1.1023	1.4362	1.4172	2.3752	1.2818	0.6817	2.3914	2.5422	2.6976	0.4744	1.4355	0.3276	0.497	0.5361	0.8193	2.067	0.7241	0.6938	0.2708	1.594	1.6238	2.8317	1.944	1.0083	1.0173	2.4427	0.4904	1.0317	0.6107	0.4212	1.348
NBEAL1	0.9731	1.9846	1.679	1.2161	1.7738	0.8619	1.9985	2.8382	0.9326	2.7092	1.3773	1.853	1.093	1.4688	2.2759	1.9708	1.0266	1.3517	1.071	1.2318	1.1602	2.1797	1.8638	1.3608	0.9092	1.68	1.7562	2.0978	0.4736	1.1158	1.7682	1.6929	0.6469	1.3108	1.5519	0.7932	1.5759	1.5692	1.8994	1.0027	0.4012	0.4923	0.396	0.3609	0.2949	0.756	0.3598	0.5269	0.1522	0.3326	0.186	0.6286	0.6434	0.3632	0.5726	0.731	0.4015	0.2287	0.6023	0.2289	0.2731	1.4122	0.4878	0.4528	0.291	0.1856	0.1118	0.3043	0.6256	0.1958	0	0.2293	0.7339	0.3117	0.1996	0.3948	0.2906	0.501
WDR7	1.7468	3.199	3.6703	2.3463	2.6332	2.7783	2.9446	3.3019	2.133	2.7509	3.4203	2.681	2.9142	3.4123	2.7469	3.5665	2.9539	2.1796	2.4054	2.9893	2.9595	2.8504	2.3235	2.6799	1.6238	2.8421	2.8722	3.3582	3.1181	2.5837	2.8804	2.855	2.0781	2.6866	2.7269	2.6748	3.1635	3.0364	2.9304	2.3049	1.239	1.5215	1.3383	1.2202	0.9793	2.0656	0.8317	1.4602	0.8459	1.4049	1.2607	1.6067	1.2717	1.3822	1.4975	1.2812	1.1591	1.0036	0.6799	0.9583	0.8344	2.8784	1.5774	2.1923	1.277	1.6025	0.6919	1.4899	1.554	1.3672	0.6379	0.9818	3.1301	1.1576	2.0258	1.4632	0.8957	1.3156
SLC3A2	15.745	17.9257	17.4305	39.1154	18.9219	17.6939	22.657	15.6923	14.0541	21.1959	18.7987	14.4254	17.9139	15.7062	14.6796	23.3887	15.4627	16.3131	17.1914	17.5996	16.9865	19.1676	23.3694	24.8136	13.5223	18.0104	20.5501	17.331	10.5884	16.1987	14.1888	16.7425	11.7142	21.9868	18.3806	21.8259	19.5421	20.7913	15.1079	39.828	50.7692	34.5567	45.3128	46.4028	44.3246	19.9973	33.8319	24.6906	45.277	36.5974	33.9119	67.8428	80.2649	47.3659	47.5764	44.9822	27.9104	33.5185	27.892	19.3601	62.6693	42.9088	61.285	38.8382	40.7513	37.4784	45.3199	33.6431	48.1833	36.6219	57.865	37.892	25.3113	45.7384	32.1252	31.8023	47.5191	39.8927
POLD1	4.7653	5.6843	6.5321	3.2111	4.9069	4.5326	4.3484	5.8452	4.062	2.8904	3.8302	4.2493	3.3151	4.6956	2.6604	5.0308	4.5843	5.3522	4.2208	2.9427	5.8932	5.6829	2.8298	4.1123	4.1646	4.4875	5.3695	4.4948	2.3421	3.197	5.0966	5.4656	2.8347	4.5084	3.6192	4.9712	5.8397	7.9464	4.437	4.288	8.9256	10.5523	10.4644	7.6329	13.8738	9.8034	5.872	6.9804	14.9001	8.7372	16.6319	10.3369	5.8812	5.1643	8.1483	9.0815	10.8731	10.1108	7.3728	8.1906	22.5011	9.7116	5.4139	16.4092	11.5498	12.621	10.9611	7.3278	10.8954	16.9114	20.2417	9.1473	4.1851	13.0825	9.1069	6.2563	5.3229	8.1203
ARHGEF26	0.8757	0.8672	1.1716	6.5593	1.2601	6.9643	2.2579	1.1906	2.2725	0.8325	1.714	1.182	9.9152	0.9403	1.4821	1.1392	6.7802	0.411	2.211	7.68	1.3358	1.7498	1.0208	3.2561	1.4895	0.8628	0.792	5.128	22.1387	8.553	3.2145	0.5003	7.468	0.6315	2.1195	2.0843	0.6884	1.2325	0.9721	2.1696	0.4707	1.195	0.6343	0.4532	0.1611	1.205	0.5441	0.5284	0.197	0.8363	0.1615	0.6174	1.8768	0.5273	0.9943	0.9399	0.8029	0.1847	0.2142	1.1244	0.6227	2.4837	0.3139	1.3698	2.0861	0.3849	0.7722	0.6459	0.6234	0.497	0.1124	0.7818	5.0139	1.4876	1.5764	1.9065	0.9349	0.7295
CSF1R	9.2926	19.8653	12.2619	11.7224	23.3783	56.8512	25.0308	11.0478	15.3062	8.2669	16.3995	14.2876	23.154	13.5963	8.5973	5.7296	25.1227	14.4755	17.7751	8.8659	32.0144	11.9917	6.2689	10.2618	11.0236	19.3896	18.5025	6.0221	8.253	12.4304	5.9086	25.1212	13.2446	13.5868	18.1209	17.3192	23.8824	13.9558	17.5511	21.4253	5.5819	3.4171	5.3051	7.0979	1.7974	7.7845	6.2769	13.9182	6.434	8.2986	19.5406	7.5262	3.8134	2.1524	9.8944	9.8543	2.7626	12.9007	1.3127	0.7276	1.2331	10.5008	4.5567	12.7211	9.3797	1.9527	7.7749	9.9856	12.7767	14.5631	6.7906	1.6215	15.5443	0.8288	8.7656	6.9815	4.3973	8.1835
NAALADL1	7.2344	4.8248	8.7152	189.5689	15.0423	2.2774	9.6325	6.0146	7.9086	6.1901	4.0878	6.1265	5.5647	5.4026	8.888	1.0595	5.1759	14.092	5.4107	4.8838	3.6475	10.5906	19.4032	16.0129	4.1261	5.9663	11.2263	5.245	3.0827	13.149	3.9195	7.2944	2.9241	8.7833	9.0302	2.7262	8.8396	5.5641	4.2573	2.1811	1.9284	1.0946	0.5339	1.46	0.6241	0.3294	0.9623	1.8962	1.2075	1.5891	5.0482	1.4179	0.397	0.8875	1.5767	1.5097	0.3465	1.3996	0.8478	0.3757	0.2431	0.9301	2.815	0.3457	0.924	0.0994	1.658	1.9397	1.1357	1.3911	2.6529	0.7285	2.3048	0.6133	2.4084	0.7221	1.4024	1.0431
SGO2	1.3951	1.381	1.7027	0.3432	1.1241	1.5334	1.0004	1.6294	1.4751	0.7133	0.9045	1.0184	1.053	2.3777	0.883	1.0154	0.8157	0.8581	0.9852	0.7929	1.326	1.0351	0.7979	0.7675	2.2242	1.0228	1.1062	1.4814	0.3086	1.2388	1.2632	1.4277	1.1242	0.7026	0.6884	1.9483	1.0461	1.8375	1.5203	2.4895	3.1006	2.7003	2.9031	4.4254	3.3186	3.4217	2.2133	2.9852	2.353	1.2691	0.1771	4.4809	3.9035	2.2079	2.3721	2.3393	2.8685	1.3186	3.9239	1.3374	0.9178	2.9939	1.5965	2.5978	2.8314	1.5875	1.3832	1.1428	3.1424	0.7006	0.0726	5.8166	2.0199	2.9076	1.8396	2.5024	2.3441	1.6964
SRCIN1	0.2242	0.2277	0.3337	0.2929	0.3209	0.5198	0.2646	0.2419	0.2932	0.2109	0.2542	0.2377	0.4059	0.0658	0.1513	0.2826	0.4073	0.1794	0.618	0.4996	0.3261	0.3232	0.1557	0.3338	0.1201	0.2122	0.2367	0.3182	0.8569	0.3245	0.5246	0.1505	0.3175	0.1889	0.2598	0.1416	0.289	0.171	0.2162	0.8076	1.224	3.366	0.8641	0.0648	0.6772	0.7168	1.4652	1.3741	1.1021	0.4447	0.9274	0.4027	0.3731	0.722	1.1713	0.952	1.1923	1.0661	0.8673	3.6274	0.9241	0.2081	1.4741	0.2149	1.2029	1.3145	1.1698	1.9871	1.561	1.7055	1.3546	1.1117	0.9104	1.7444	2.1431	4.9774	0.6489	2.8835
PLK1	4.7437	5.7542	6.9191	2.1434	4.0241	7.0213	4.6704	6.8711	5.4706	2.4053	4.2349	4.7103	3.4438	9.9865	2.5406	2.9959	3.6544	3.694	2.9477	2.5595	7.0268	5.1993	3.216	4.4701	5.6154	3.8763	5.0376	5.5432	0.8262	4.1887	6.8452	7.4531	2.4214	2.9066	3.1965	9.6078	5.2923	7.2196	6.0121	4.4787	15.1078	9.2056	13.3814	27.5618	14.8781	13.5995	22.1471	8.8588	26.4429	17.9388	10.0005	22.3392	5.843	10.4362	12.6535	9.0925	8.5757	23.0891	12.9454	11.3314	28.4357	17.3886	16.0853	14.376	11.3414	11.8427	27.7693	10.1638	9.2023	21.45	20.8527	13.8378	5.2192	24.9717	18.0672	14.6913	12.8902	6.5674
DHX34	2.4693	3.1514	3.4973	2.0561	3.9669	3.3573	2.9146	3.6283	3.059	1.9733	2.4368	2.2913	1.9892	2.3064	2.4171	5.203	3.4109	3.1284	3.1805	3.4339	2.8957	3.4468	1.7997	2.4417	2.8771	2.7236	4.0635	3.8626	1.8858	2.358	4.0548	2.5752	1.9213	2.8618	3.002	3.105	3.5119	3.0459	3.0221	6.2849	10.2194	12.7281	11.9897	5.2435	7.1732	6.1812	3.6206	6.0032	13.6922	3.8665	11.5211	8.409	4.5968	12.6815	10.9749	13.0366	6.1774	5.2067	6.0701	10.5335	15.105	6.4462	8.3711	12.012	6.787	7.4058	9.5909	7.05	9.5329	11.0854	7.0177	8.2203	5.0525	13.3182	6.4642	5.4128	5.4285	10.822
KNTC1	0.9797	1.7839	2.0379	0.6107	1.715	1.4064	1.3201	1.7051	0.87	1.1285	1.198	1.1214	1.1877	1.9832	1.2883	1.6569	1.1679	0.903	1.1024	0.925	1.4397	1.5396	0.6593	0.8423	0.9848	1.2557	1.2798	1.9499	0.5917	0.9627	1.6336	1.9851	1.0658	1.0642	0.5443	1.5559	1.6552	1.8479	1.4568	2.334	4.2764	3.3475	2.5434	4.1872	3.6089	2.597	1.952	2.5805	1.8171	1.5849	0.4458	3.6234	2.4283	2.2794	3.8144	4.3371	2.4537	1.6195	3.0101	1.5876	2.1842	6.1423	3.3558	6.5293	3.3911	2.621	1.5624	1.9139	5.8049	1.3756	0.5012	3.4418	2.1723	4.1283	3.3184	2.0805	3.2406	3.5738
EDNRB	4.1175	5.0596	6.0798	3.5162	7.3643	3.044	4.7221	6.3203	3.8143	3.7966	4.285	4.4802	5.5646	2.2164	6.2238	8.7807	4.41	3.2509	4.9645	4.0359	5.0921	3.6307	2.2245	3.8706	6.1673	4.7159	5.451	4.1485	2.2918	3.4068	3.6494	3.9087	4.1983	3.6538	2.8556	4.5282	4.817	3.085	4.519	5.3086	3.2305	1.3498	2.1473	1.3603	0.3849	2.4134	2.0752	1.087	1.9263	1.8501	1.0289	1.0744	1.3175	1.2091	3.5778	1.476	2.8762	0.4709	1.0245	0.4068	0.4068	3.2028	3.1436	0.9237	0.9601	0.1275	0.8111	3.2361	2.7628	0.8869	0.5471	1.2118	5.4752	0.5585	0.4273	1.1135	2.1166	3.4567
ATP2B4	3.9646	6.0327	7.9441	19.3502	6.5154	69.877	16.7321	15.2178	16.3661	8.0731	16.5991	9.0776	74.9387	7.6887	10.8283	9.562	43.6291	3.5583	11.4086	90.7947	8.9772	12.1709	7.044	22.4014	4.7275	6.8171	5.783	44.9581	202.5837	61.7651	33.1464	5.914	29.3679	6.3226	15.0089	15.7646	8.2592	9.2861	7.4094	16.0456	3.285	3.9862	5.9975	4.4007	3.907	7.6832	2.4154	5.5321	3.4749	6.9988	3.1481	8.3164	10.6448	5.317	7.2364	10.8407	6.4687	14.3966	3.4805	7.1623	2.6146	4.1733	8.0247	3.4957	6.4911	1.9586	4.6969	4.1099	12.269	7.1861	0.5009	5.8394	60.4506	1.8401	6.8662	6.8799	2.6633	5.9126
TLR7	1.2024	1.442	1.431	0.7293	1.6078	2.4605	1.6167	0.6108	1.3107	0.8689	1.1787	1.415	1.6	1.6222	1.266	2.0616	1.6295	1.2196	1.6728	0.5989	1.9332	0.8744	0.7133	1.0031	1.1039	2.3478	1.0766	0.7273	0.3337	1.0918	0.2571	2.4425	1.4542	1.6773	1.5198	1.208	2.2422	1.5691	1.7241	1.0972	0.3189	0.142	0.3477	0.5285	0.0707	0.5024	0.6085	0.8682	0.3383	0.2194	0.0924	0.2239	0.2833	0.1098	0.7665	0.4516	0.3371	0.4154	0.0782	0.0835	0.0516	0.4787	0.2302	0.7912	0.623	0.1461	0.3199	0.4158	0.884	0.3477	0.354	0.0352	1.251	0.0446	0.5027	0.7238	0.2756	0.4844
NAP1L3	0.647	0.7963	0.928	1.111	0.679	3.4238	1.0743	1.6331	1.3549	1.2132	1.2818	0.9885	4.1435	0.7053	1.0723	1.0322	2.57	0.3991	1.4493	3.5371	1.2652	0.7505	0.7622	1.0269	0.9333	0.957	0.4386	1.5441	6.1289	2.944	3.2586	0.451	2.6986	1.1826	1.2369	1.1251	0.8254	0.801	0.5686	1.1787	0.1105	0.5808	0.5162	0.1816	0.0362	0.3129	0.1838	0.6061	0.3691	0.3721	0.3328	0.347	0.6825	0.6826	0.6006	0.835	0.1655	0.3988	0.0672	0.0205	0.0169	0.1243	0.4052	0.2208	0.3597	0.0506	0.2303	0.213	1.0113	0.6983	0	0.6154	4.3035	0.0876	0.1028	0.2842	0.1082	0.634
PLCL2	6.328	9.3294	6.9738	7.2246	7.674	2.5523	8.1297	5.2328	5.2892	7.8437	8.8673	7.798	4.1083	7.642	7.6899	3.4027	6.0584	8.5589	6.5999	3.9141	7.3467	6.6563	8.3783	7.3047	3.732	8.454	6.2896	4.472	1.3923	6.9698	3.3536	7.3857	2.9314	8.6393	8.0684	4.0432	7.791	6.9165	8.0679	1.6589	0.6682	0.3101	0.2864	0.9589	0.1302	1.2818	0.8682	1.1813	0.5115	2.9256	1.0095	0.8471	2.15	0.4611	0.6892	0.7645	1.8517	1.0236	0.601	0.0632	0.13	4.0112	0.4201	2.9875	0.6279	0.5718	0.731	0.8292	1.2207	0.6452	0.4757	0.4118	1.855	0.1349	2.4383	0.8926	1.1335	0.7858
JCAD	0.7631	0.9155	0.8344	1.3936	0.9089	16.9196	3.3566	2.1719	6.6197	2.2317	5.1338	1.3997	15.1098	1.2592	2.4319	1.7247	7.1748	0.6107	3.5051	19.172	1.0407	2.4728	1.6987	6.8191	2.3213	1.0639	0.748	4.6847	27.8212	14.0479	7.5875	0.6749	11.6465	1.2744	3.7582	3.7104	1.1348	1.4206	0.5964	5.9942	0.8221	2.1406	2.0848	1.4859	0.7232	1.3158	0.8443	3.2096	0.9037	3.7658	0.7199	2.4129	2.2802	2.8304	2.7018	5.59	0.6959	1.5898	0.9346	0.312	0.2289	0.909	1.891	1.56	2.0231	0.4296	0.5852	0.992	5.2558	1.9406	0.2564	2.0414	18.8887	0.6689	2.9809	1.1102	0.6588	1.7642
PITPNM3	2.178	4.0178	4.4344	1.3131	2.8224	4.443	2.5492	2.7105	3.201	2.5694	3.2655	3.7692	3.237	1.8707	3.5652	4.8808	3.0571	2.4848	4.0171	8.178	3.4273	5.4009	1.7265	3.6981	2.7057	3.4652	3.293	5.5679	5.8141	3.1361	4.5497	3.2743	1.9976	2.6535	2.5543	2.6722	3.9466	3.6691	2.6654	0.4187	0.5852	2.2435	0.7544	0.3542	1.407	1.8054	0.4928	0.5571	1.1314	3.369	1.1115	0.8824	0.7844	0.2497	1.1436	1.2544	1.7306	1.4578	0.7885	3.6802	1.5258	10.6043	0.2747	5.7334	0.6006	2.8068	0.9564	0.5552	1.4214	1.0747	0.647	0.6437	1.542	0.4066	2.2151	0.7305	0.8168	1.6435
BANK1	0.9836	0.8926	6.8201	0.2049	0.6726	0.5541	0.8362	0.1599	1.3762	1.8308	0.5577	0.3036	0.6772	0.5282	1.7652	0.8726	1.004	0.6567	1.6004	0.2412	0.7261	1.2683	2.3565	0.2426	0.3622	1.1915	1.6523	1.8048	0.1073	1.6431	1.3522	4.1511	0.8642	5.9333	0.5433	1.6192	2.469	0.3601	0.8324	0.8937	0.3706	0.3506	0.2297	0.4362	0.0078	0.2699	0.5944	1.8046	0.0955	0.5066	0.0261	1.23	0.5595	0.1743	0.5605	0.2004	0.2711	0.1797	0.5999	0.0884	0.0146	0.7066	0.1378	0.51	0.4537	0.5966	0.5327	0.4974	0.4831	0.4349	0	0.167	1.5404	0.1473	0.7624	0.4469	0.336	0.6834
HIF3A	0.3016	0.3358	0.7148	1.0093	0.9259	4.1983	1.7696	0.6513	1.4755	0.4737	0.6659	0.4292	3.0537	0.2536	0.4985	0.6689	2.1135	0.1133	2.7966	2.2376	0.5516	1.4871	0.3196	0.8988	0.3313	0.2526	0.2524	1.0389	8.0061	2.221	4.2921	0.2213	0.869	0.2935	0.78	0.6444	0.5086	0.3075	0.368	0.1607	0.1748	0.1837	0.1712	0.1231	0.1508	0.1377	0.0407	0.1677	0.0292	0.1858	0.9282	0.239	0.1279	0.1562	0.2749	0.245	0.0384	0.0516	0.2155	0.0713	0.1709	0.1597	0.1454	0.0175	0.0484	0.0747	0.1391	0.4884	1.5302	0.1914	0.6045	0.1137	1.0305	0.1247	0.3122	0.0529	0.0479	0.338
